10, 23, 9e-07
20, 77, 9e-07
30, 119, 1.6e-06
40, 214, 2.3e-06
50, 278, 2.7e-06
60, 326, 5.6e-06
70, 419, 4.1e-06
80, 581, 5.5e-06
100, 638, 5.6e-06
125, 1026, 1e-05
150, 1124, 1.01e-05
175, 1353, 1.12e-05
200, 1649, 1.28e-05
250, 1911, 1.72e-05
300, 2405, 2.1e-05
400, 3622, 3.73e-05
500, 5396, 5.33e-05
750, 7907, 8.31e-05
1000, 11126, 0.0001168
2000, 25267, 0.0002532
3000, 40814.8, 0.0004431
4000, 53842.8, 0.0005552
5000, 69086, 0.0007256
7500, 113980, 0.0011321
10000, 158311, 0.0014755
20000, 340644, 0.0032265

